system:index,WARD_NAME,WARD_NO,date,mean
1_00000000000000000069,Jaraganahalli,186,01-04-2008,79.08947717
1_0000000000000000006a,Puttenahalli,187,01-04-2008,75.34627463
1_0000000000000000006b,Bilekhalli,188,01-04-2008,83.29209748
1_0000000000000000006c,Hongasandra,189,01-04-2008,72.99446113
1_0000000000000000006d,Mangammanapalya,190,01-04-2008,87.441523
1_0000000000000000006e,Singasandra,191,01-04-2008,103.0780073
1_0000000000000000006f,Arakere,193,01-04-2008,100.6305538
1_00000000000000000070,Uttarahalli,184,01-04-2008,92.73021158
1_00000000000000000072,Begur,192,01-04-2008,109.9713172
1_00000000000000000073,Gottigere,194,01-04-2008,98.21461696
1_00000000000000000074,Konankunte,195,01-04-2008,83.67354233
1_00000000000000000075,Anjanapura,196,01-04-2008,95.53467578
1_00000000000000000076,Kempegowda Ward,1,01-04-2008,104.6059479
1_00000000000000000077,K R Puram,52,01-04-2008,98.38706646
1_00000000000000000078,Jnana Bharathi ward,129,01-04-2008,91.9295045
1_0000000000000000007c,Vasanthpura,197,01-04-2008,88.1929777
1_0000000000000000007d,J P Nagar,177,01-04-2008,68.05277412
1_0000000000000000007f,Ramamurthy Nagar,26,01-04-2008,119.8339333
1_00000000000000000080,Horamavu,25,01-04-2008,110.5197787
1_00000000000000000081,Marathahalli,86,01-04-2008,96.61716202
1_00000000000000000082,Hemmigepura,198,01-04-2008,97.56309802
1_00000000000000000083,Chowdeswari Ward,2,01-04-2008,111.1015033
1_00000000000000000084,Atturu,3,01-04-2008,96.65745364
1_00000000000000000085,Yelahanka Satellite Town,4,01-04-2008,99.98766683
1_00000000000000000087,Basavanapura,53,01-04-2008,99.53266434
1_00000000000000000088,Hudi,54,01-04-2008,105.919435
1_00000000000000000089,Devasandra,55,01-04-2008,105.3026713
1_0000000000000000008a,A Narayanapura,56,01-04-2008,82.39342066
1_0000000000000000008b,Vijnana Nagar,81,01-04-2008,94.36839116
1_0000000000000000008c,HAL Airport,87,01-04-2008,105.883109
1_0000000000000000008d,Dodda Bommasandra,10,01-04-2008,96.13435121
1_0000000000000000008e,Kuvempu Nagar,11,01-04-2008,99.32267054
1_0000000000000000008f,Jakkuru,5,01-04-2008,95.68717488
1_00000000000000000090,Thanisandra,6,01-04-2008,91.48391591
1_00000000000000000091,Byatarayanapura,7,01-04-2008,94.77585427
1_00000000000000000092,Kodigehalli,8,01-04-2008,102.7049068
1_00000000000000000093,Vidyaranyapura,9,01-04-2008,96.46239395
1_00000000000000000094,Ullalu,130,01-04-2008,89.70830469
1_00000000000000000095,Kengeri,159,01-04-2008,87.46436431
1_00000000000000000096,Dodda Bidarakallu,40,01-04-2008,97.25775217
1_00000000000000000097,Herohalli,72,01-04-2008,102.3005562
1_00000000000000000098,Jalahalli,16,01-04-2008,103.6546224
1_00000000000000000099,Rajarajeshwari Nagar,160,01-04-2008,92.01216619
1_0000000000000000009a,J P Park,17,01-04-2008,83.01944108
1_0000000000000000009c,HMT Ward,38,01-04-2008,83.71729611
1_0000000000000000009e,Laggere,69,01-04-2008,61.70934696
1_0000000000000000009f,Kottegepalya,73,01-04-2008,73.34336231
1_000000000000000000a0,Shettihalli,12,01-04-2008,96.45373733
1_000000000000000000a1,Mallasandra,13,01-04-2008,87.89707722
1_000000000000000000a2,Bagalakunte,14,01-04-2008,86.56463889
1_000000000000000000a3,T Dasarahalli,15,01-04-2008,80.28571429
1_000000000000000000a4,Chokkasandra,39,01-04-2008,89.20349539
1_000000000000000000a5,Peenya Industrial Area,41,01-04-2008,107.9976119
1_000000000000000000a6,Rajagopal Nagar,70,01-04-2008,78.07705092
1_000000000000000000a7,Hegganahalli,71,01-04-2008,71.21399847
1_000000000000000000a8,Vrisabhavathi Nagar,102,01-04-2008,79.375
1_000000000000000000af,Aramane Nagara,35,01-04-2008,137.2149553
1_000000000000000000b2,Rajamahal Guttahalli,64,01-04-2008,95.17861844
1_000000000000000000b6,Radhakrishna Temple Ward,18,01-04-2008,119.1689378
1_000000000000000000b7,Sanjaya Nagar,19,01-04-2008,104.3358032
1_000000000000000000b8,Ganga Nagar,20,01-04-2008,104.75
2_00000000000000000000,HBR Layout,24,01-07-2008,190.7593943
2_00000000000000000006,Maruthi Seva Nagar,59,01-07-2008,165.6244112
2_00000000000000000007,Konena Agrahara,113,01-07-2008,192.3131797
2_00000000000000000008,Benniganahalli,50,01-07-2008,177.235025
2_00000000000000000009,C V Raman Nagar,57,01-07-2008,177.2583987
2_0000000000000000000a,New Tippasandara,58,01-07-2008,180.3187458
2_0000000000000000000b,Sarvagna Nagar,79,01-07-2008,184.3772161
2_0000000000000000000c,Hoysala Nagar,80,01-07-2008,184.9013212
2_0000000000000000000d,Jeevanbhima Nagar,88,01-07-2008,141.6556283
2_00000000000000000016,Domlur,112,01-07-2008,151.5059879
2_00000000000000000017,Agaram,114,01-07-2008,200.5787425
2_00000000000000000018,Vannarpet,115,01-07-2008,187.3769498
2_0000000000000000002a,Kaveripura,103,01-07-2008,169.6792112
2_00000000000000000030,Mudalapalya,127,01-07-2008,164.2299996
2_00000000000000000031,Nagarabhavi,128,01-07-2008,187.2381106
2_00000000000000000032,Nayandahalli,131,01-07-2008,159.1849564
2_0000000000000000003a,Deepanjali Nagar,158,01-07-2008,160.5
2_0000000000000000004f,Hosakerehalli,161,01-07-2008,148.5
2_00000000000000000058,Ejipura,148,01-07-2008,188.6641084
2_00000000000000000059,Koramangala,151,01-07-2008,160.7827585
2_0000000000000000005b,Sarakki,178,01-07-2008,166.5054861
2_0000000000000000005c,Jakkasandra,173,01-07-2008,173.0206718
2_0000000000000000005d,BTM Layout,176,01-07-2008,170.786217
2_00000000000000000061,Varthuru,149,01-07-2008,191.6452765
2_00000000000000000062,Bellanduru,150,01-07-2008,196.3285721
2_00000000000000000063,Garudachar Playa,82,01-07-2008,167.7709068
2_00000000000000000064,Kadugodi,83,01-07-2008,194.6970905
2_00000000000000000065,Hagadur,84,01-07-2008,181.414619
2_00000000000000000066,Dodda Nekkundi,85,01-07-2008,170.0319119
2_00000000000000000067,HSR Layout,174,01-07-2008,197.9394685
2_00000000000000000068,Bommanahalli,175,01-07-2008,156.3948624
2_00000000000000000069,Jaraganahalli,186,01-07-2008,168.5966599
2_0000000000000000006a,Puttenahalli,187,01-07-2008,165.9490929
2_0000000000000000006b,Bilekhalli,188,01-07-2008,158.074722
2_0000000000000000006c,Hongasandra,189,01-07-2008,158.834549
2_0000000000000000006d,Mangammanapalya,190,01-07-2008,160.0509379
2_0000000000000000006e,Singasandra,191,01-07-2008,172.399511
2_0000000000000000006f,Arakere,193,01-07-2008,176.1833293
2_00000000000000000070,Uttarahalli,184,01-07-2008,166.7325002
2_00000000000000000072,Begur,192,01-07-2008,173.169775
2_00000000000000000073,Gottigere,194,01-07-2008,163.5554456
2_00000000000000000074,Konankunte,195,01-07-2008,185.3912041
2_00000000000000000075,Anjanapura,196,01-07-2008,155.3669766
2_00000000000000000076,Kempegowda Ward,1,01-07-2008,191.6750821
2_00000000000000000077,K R Puram,52,01-07-2008,189.4037345
2_00000000000000000078,Jnana Bharathi ward,129,01-07-2008,171.0314692
2_0000000000000000007c,Vasanthpura,197,01-07-2008,180.8710427
2_0000000000000000007d,J P Nagar,177,01-07-2008,176.0309558
2_0000000000000000007f,Ramamurthy Nagar,26,01-07-2008,175.0193797
2_00000000000000000080,Horamavu,25,01-07-2008,182.9365661
2_00000000000000000081,Marathahalli,86,01-07-2008,189.4966479
2_00000000000000000082,Hemmigepura,198,01-07-2008,169.3085171
2_00000000000000000083,Chowdeswari Ward,2,01-07-2008,195.6684473
2_00000000000000000084,Atturu,3,01-07-2008,172.6826657
2_00000000000000000085,Yelahanka Satellite Town,4,01-07-2008,162.2959555
2_00000000000000000087,Basavanapura,53,01-07-2008,184.8854489
2_00000000000000000088,Hudi,54,01-07-2008,188.663376
2_00000000000000000089,Devasandra,55,01-07-2008,157.5410847
2_0000000000000000008a,A Narayanapura,56,01-07-2008,144.3431562
2_0000000000000000008b,Vijnana Nagar,81,01-07-2008,148.0432386
2_0000000000000000008c,HAL Airport,87,01-07-2008,176.2191277
2_0000000000000000008d,Dodda Bommasandra,10,01-07-2008,155.7365428
2_0000000000000000008e,Kuvempu Nagar,11,01-07-2008,164.7085762
2_0000000000000000008f,Jakkuru,5,01-07-2008,187.6881491
2_00000000000000000090,Thanisandra,6,01-07-2008,169.8080291
2_00000000000000000091,Byatarayanapura,7,01-07-2008,163.0605185
2_00000000000000000092,Kodigehalli,8,01-07-2008,167.0945638
2_00000000000000000093,Vidyaranyapura,9,01-07-2008,154.9308829
2_00000000000000000094,Ullalu,130,01-07-2008,169.9483109
2_00000000000000000095,Kengeri,159,01-07-2008,162.9961901
2_00000000000000000096,Dodda Bidarakallu,40,01-07-2008,186.4099827
2_00000000000000000097,Herohalli,72,01-07-2008,190.0828997
2_00000000000000000098,Jalahalli,16,01-07-2008,162.7679636
2_00000000000000000099,Rajarajeshwari Nagar,160,01-07-2008,168.6801363
2_0000000000000000009a,J P Park,17,01-07-2008,149.7232032
2_0000000000000000009c,HMT Ward,38,01-07-2008,165.9950206
2_0000000000000000009e,Laggere,69,01-07-2008,154.2707149
2_0000000000000000009f,Kottegepalya,73,01-07-2008,168.4893261
2_000000000000000000a0,Shettihalli,12,01-07-2008,157.5354248
2_000000000000000000a1,Mallasandra,13,01-07-2008,156.0242464
2_000000000000000000a2,Bagalakunte,14,01-07-2008,158.7637631
2_000000000000000000a3,T Dasarahalli,15,01-07-2008,165.3333333
2_000000000000000000a4,Chokkasandra,39,01-07-2008,168.4223233
2_000000000000000000a5,Peenya Industrial Area,41,01-07-2008,171.3025608
2_000000000000000000a6,Rajagopal Nagar,70,01-07-2008,155.5518683
2_000000000000000000a7,Hegganahalli,71,01-07-2008,118.2861866
2_000000000000000000a8,Vrisabhavathi Nagar,102,01-07-2008,173.5
2_000000000000000000af,Aramane Nagara,35,01-07-2008,154.4554873
2_000000000000000000b2,Rajamahal Guttahalli,64,01-07-2008,101.6496475
2_000000000000000000b6,Radhakrishna Temple Ward,18,01-07-2008,179.5772871
2_000000000000000000b7,Sanjaya Nagar,19,01-07-2008,197.8723574
2_000000000000000000b8,Ganga Nagar,20,01-07-2008,193.6666667
3_00000000000000000000,HBR Layout,24,01-10-2008,148.3486696
3_00000000000000000006,Maruthi Seva Nagar,59,01-10-2008,144.9609897
3_00000000000000000007,Konena Agrahara,113,01-10-2008,134.9108216
3_00000000000000000008,Benniganahalli,50,01-10-2008,147.6063331
3_00000000000000000009,C V Raman Nagar,57,01-10-2008,139.8438997
3_0000000000000000000a,New Tippasandara,58,01-10-2008,135.8997552
3_0000000000000000000b,Sarvagna Nagar,79,01-10-2008,145.5913059
3_0000000000000000000c,Hoysala Nagar,80,01-10-2008,142.4983515
3_0000000000000000000d,Jeevanbhima Nagar,88,01-10-2008,127.5048171
3_00000000000000000016,Domlur,112,01-10-2008,129.7113829
3_00000000000000000017,Agaram,114,01-10-2008,161.7465262
3_00000000000000000018,Vannarpet,115,01-10-2008,136.282332
3_0000000000000000002a,Kaveripura,103,01-10-2008,135.527086
3_00000000000000000030,Mudalapalya,127,01-10-2008,132.6610808
3_00000000000000000031,Nagarabhavi,128,01-10-2008,158.9776824
3_00000000000000000032,Nayandahalli,131,01-10-2008,147.0849976
3_0000000000000000003a,Deepanjali Nagar,158,01-10-2008,135.5
3_0000000000000000004f,Hosakerehalli,161,01-10-2008,127.875
3_00000000000000000058,Ejipura,148,01-10-2008,131.336675
3_00000000000000000059,Koramangala,151,01-10-2008,128.7045357
3_0000000000000000005b,Sarakki,178,01-10-2008,124.0606145
3_0000000000000000005c,Jakkasandra,173,01-10-2008,127.9815193
3_0000000000000000005d,BTM Layout,176,01-10-2008,123.9053038
3_00000000000000000061,Varthuru,149,01-10-2008,157.4383129
3_00000000000000000062,Bellanduru,150,01-10-2008,143.3072776
3_00000000000000000063,Garudachar Playa,82,01-10-2008,135.0590512
3_00000000000000000064,Kadugodi,83,01-10-2008,150.1483817
3_00000000000000000065,Hagadur,84,01-10-2008,156.0001429
3_00000000000000000066,Dodda Nekkundi,85,01-10-2008,135.8701081
3_00000000000000000067,HSR Layout,174,01-10-2008,140.3913526
3_00000000000000000068,Bommanahalli,175,01-10-2008,122.5878918
3_00000000000000000069,Jaraganahalli,186,01-10-2008,126.7615443
3_0000000000000000006a,Puttenahalli,187,01-10-2008,126.375749
3_0000000000000000006b,Bilekhalli,188,01-10-2008,126.5632972
3_0000000000000000006c,Hongasandra,189,01-10-2008,120.0263239
3_0000000000000000006d,Mangammanapalya,190,01-10-2008,131.1469739
3_0000000000000000006e,Singasandra,191,01-10-2008,143.4855562
3_0000000000000000006f,Arakere,193,01-10-2008,134.7734231
3_00000000000000000070,Uttarahalli,184,01-10-2008,148.6983745
3_00000000000000000072,Begur,192,01-10-2008,143.8437358
3_00000000000000000073,Gottigere,194,01-10-2008,143.4703909
3_00000000000000000074,Konankunte,195,01-10-2008,128.7157434
3_00000000000000000075,Anjanapura,196,01-10-2008,147.1640767
3_00000000000000000076,Kempegowda Ward,1,01-10-2008,151.3271511
3_00000000000000000077,K R Puram,52,01-10-2008,139.6917994
3_00000000000000000078,Jnana Bharathi ward,129,01-10-2008,155.4989187
3_0000000000000000007c,Vasanthpura,197,01-10-2008,137.7670697
3_0000000000000000007d,J P Nagar,177,01-10-2008,121.8608763
3_0000000000000000007f,Ramamurthy Nagar,26,01-10-2008,151.779495
3_00000000000000000080,Horamavu,25,01-10-2008,152.9842441
3_00000000000000000081,Marathahalli,86,01-10-2008,132.8377141
3_00000000000000000082,Hemmigepura,198,01-10-2008,154.9330461
3_00000000000000000083,Chowdeswari Ward,2,01-10-2008,158.4593924
3_00000000000000000084,Atturu,3,01-10-2008,157.0735328
3_00000000000000000085,Yelahanka Satellite Town,4,01-10-2008,147.2419486
3_00000000000000000087,Basavanapura,53,01-10-2008,146.5979082
3_00000000000000000088,Hudi,54,01-10-2008,150.1811999
3_00000000000000000089,Devasandra,55,01-10-2008,140.7670764
3_0000000000000000008a,A Narayanapura,56,01-10-2008,129.0130781
3_0000000000000000008b,Vijnana Nagar,81,01-10-2008,134.5299899
3_0000000000000000008c,HAL Airport,87,01-10-2008,137.8551971
3_0000000000000000008d,Dodda Bommasandra,10,01-10-2008,148.2540727
3_0000000000000000008e,Kuvempu Nagar,11,01-10-2008,157.0862988
3_0000000000000000008f,Jakkuru,5,01-10-2008,150.9912873
3_00000000000000000090,Thanisandra,6,01-10-2008,141.1375408
3_00000000000000000091,Byatarayanapura,7,01-10-2008,142.2119218
3_00000000000000000092,Kodigehalli,8,01-10-2008,147.6688624
